wall_time,frame,strategy,confidence,near_face,final_detected
1781795588.38,85689,final,0.0,0,0
1781795588.655,85692,final,0.0,0,0
1781795588.923,85695,final,0.0,0,0
1781795589.199,85698,final,0.0,0,0
1781795589.457,85701,final,0.0,0,0
1781795589.709,85704,final,0.0,0,0
1781795589.974,85707,final,0.0,0,0
1781795590.241,85710,final,0.0,0,0
1781795590.514,85713,final,0.0,0,0
1781795590.772,85716,final,0.0,0,0
1781795591.041,85719,final,0.0,0,0
1781795591.312,85722,final,0.0,0,0
1781795591.58,85725,final,0.0,0,0
1781795591.859,85728,final,0.0,0,0
1781795592.125,85731,final,0.0,0,0
1781795592.4,85734,final,0.0,0,0
1781795592.664,85737,final,0.0,0,0
1781795592.931,85740,final,0.0,0,0
1781795593.193,85743,final,0.0,0,0
1781795593.45,85746,final,0.0,0,0
1781795593.715,85749,final,0.0,0,0
1781795593.979,85752,final,0.0,0,0
1781795594.249,85755,final,0.0,0,0
1781795594.51,85758,final,0.0,0,0
1781795594.773,85761,final,0.0,0,0
1781795595.035,85764,final,0.0,0,0
1781795595.303,85767,final,0.0,0,0
1781795595.569,85770,final,0.0,0,0
1781795595.839,85773,final,0.0,0,0
1781795596.11,85776,final,0.0,0,0
1781795596.368,85779,final,0.0,0,0
1781795596.627,85782,final,0.0,0,0
1781795596.892,85785,final,0.0,0,0
1781795597.164,85788,final,0.0,0,0
1781795597.424,85791,final,0.0,0,0
1781795597.684,85794,final,0.0,0,0
1781795597.944,85797,final,0.0,0,0
1781795598.205,85800,final,0.0,0,0
1781795598.47,85803,final,0.0,0,0
1781795598.742,85806,final,0.0,0,0
1781795599.007,85809,final,0.0,0,0
1781795599.272,85812,final,0.0,0,0
1781795599.535,85815,final,0.0,0,0
1781795599.802,85818,final,0.0,0,0
1781795600.065,85821,final,0.0,0,0
1781795600.329,85824,final,0.0,0,0
1781795600.597,85827,final,0.0,0,0
1781795600.864,85830,final,0.0,0,0
1781795601.133,85833,final,0.0,0,0
1781795601.4,85836,final,0.0,0,0
1781795601.663,85839,final,0.0,0,0
1781795601.927,85842,final,0.0,0,0
1781795602.186,85845,final,0.0,0,0
1781795602.484,85848,final,0.0,0,0
1781795602.774,85851,final,0.0,0,0
1781795603.076,85854,final,0.0,0,0
1781795603.408,85857,final,0.0,0,0
1781795603.722,85860,final,0.0,0,0
1781795604.044,85863,final,0.0,0,0
1781795604.361,85866,final,0.0,0,0
1781795604.695,85869,final,0.0,0,0
1781795604.983,85872,final,0.0,0,0
1781795605.296,85875,final,0.0,0,0
1781795605.591,85878,final,0.0,0,0
1781795605.874,85881,final,0.0,0,0
1781795606.175,85884,final,0.0,0,0
1781795606.445,85887,final,0.0,0,0
1781795606.784,85890,final,0.0,0,0
1781795607.055,85893,final,0.0,0,0
1781795607.331,85896,final,0.0,0,0
1781795607.605,85899,final,0.0,0,0
1781795607.901,85902,final,0.0,0,0
1781795608.166,85905,final,0.0,0,0
1781795608.43,85908,final,0.0,0,0
1781795608.705,85911,final,0.0,0,0
1781795608.975,85914,final,0.0,0,0
1781795609.246,85917,final,0.0,0,0
1781795609.516,85920,final,0.0,0,0
1781795609.788,85923,final,0.0,0,0
1781795610.056,85926,final,0.0,0,0
1781795610.318,85929,final,0.0,0,0
1781795610.59,85932,final,0.0,0,0
1781795610.857,85935,final,0.0,0,0
1781795611.116,85938,final,0.0,0,0
1781795611.375,85941,final,0.0,0,0
1781795611.641,85944,final,0.0,0,0
1781795611.905,85947,final,0.0,0,0
1781795612.165,85950,final,0.0,0,0
1781795612.426,85953,final,0.0,0,0
1781795612.68,85956,final,0.0,0,0
1781795612.938,85959,final,0.0,0,0
1781795613.2,85962,final,0.0,0,0
1781795613.466,85965,final,0.0,0,0
1781795613.736,85968,final,0.0,0,0
1781795613.995,85971,final,0.0,0,0
1781795614.259,85974,final,0.0,0,0
1781795614.529,85977,final,0.0,0,0
1781795614.786,85980,final,0.0,0,0
1781795615.052,85983,final,0.0,0,0
1781795615.315,85986,final,0.0,0,0
1781795615.576,85989,final,0.0,0,0
1781795615.839,85992,final,0.0,0,0
1781795616.101,85995,final,0.0,0,0
1781795616.363,85998,final,0.0,0,0
1781795616.625,86001,final,0.0,0,0
1781795616.888,86004,final,0.0,0,0
1781795617.145,86007,final,0.0,0,0
1781795617.404,86010,final,0.0,0,0
1781795617.662,86013,final,0.0,0,0
1781795617.932,86016,final,0.0,0,0
1781795618.195,86019,final,0.0,0,0
1781795618.459,86022,final,0.0,0,0
1781795618.714,86025,final,0.0,0,0
1781795618.999,86028,final,0.0,0,0
1781795619.263,86031,final,0.0,0,0
1781795619.552,86034,final,0.0,0,0
1781795619.825,86037,final,0.0,0,0
1781795620.088,86040,final,0.0,0,0
1781795620.356,86043,final,0.0,0,0
1781795620.634,86046,final,0.0,0,0
1781795620.917,86049,final,0.0,0,0
1781795621.199,86052,final,0.0,0,0
1781795621.467,86055,final,0.0,0,0
1781795621.803,86058,final,0.0,0,0
1781795622.078,86061,final,0.0,0,0
1781795622.355,86064,final,0.0,0,0
1781795622.637,86067,final,0.0,0,0
1781795622.911,86070,final,0.0,0,0
1781795623.189,86073,final,0.0,0,0
1781795623.469,86076,final,0.0,0,0
1781795623.736,86079,final,0.0,0,0
1781795624.001,86082,final,0.0,0,0
1781795624.287,86085,final,0.0,0,0
1781795624.567,86088,final,0.0,0,0
1781795624.909,86091,final,0.0,0,0
1781795625.279,86094,final,0.0,0,0
1781795625.659,86097,final,0.0,0,0
1781795626.005,86100,final,0.0,0,0
1781795626.291,86103,final,0.0,0,0
1781795626.621,86106,final,0.0,0,0
1781795626.918,86109,final,0.0,0,0
1781795627.244,86112,final,0.0,0,0
1781795627.585,86115,final,0.0,0,0
1781795627.91,86118,final,0.0,0,0
1781795628.236,86121,final,0.0,0,0
1781795628.561,86124,final,0.0,0,0
1781795628.906,86127,final,0.0,0,0
1781795629.222,86130,final,0.0,0,0
1781795629.55,86133,final,0.0,0,0
1781795629.89,86136,final,0.0,0,0
1781795630.223,86139,final,0.0,0,0
1781795630.545,86142,final,0.0,0,0
1781795630.884,86145,final,0.0,0,0
1781795631.216,86148,final,0.0,0,0
1781795631.564,86151,final,0.0,0,0
1781795631.897,86154,final,0.0,0,0
1781795632.201,86157,final,0.0,0,0
1781795632.515,86160,final,0.0,0,0
1781795632.83,86163,final,0.0,0,0
1781795633.111,86166,final,0.0,0,0
1781795633.447,86169,final,0.0,0,0
1781795633.76,86172,final,0.0,0,0
1781795634.1,86175,final,0.0,0,0
1781795634.422,86178,final,0.0,0,0
1781795634.742,86181,final,0.0,0,0
1781795635.054,86184,final,0.0,0,0
1781795635.357,86187,final,0.0,0,0
1781795635.653,86190,final,0.0,0,0
